frame,capture_us,preprocess_us,inference_us,nms_us,thumbnail_us,grpc_us,e2e_us,num_dets
11,58738,649,71887,0,3540,57674,471747,0
12,57595,750,75950,0,3576,10004,440602,0
13,58032,679,74794,0,2849,8759,454935,0
14,56718,610,72660,0,3238,9647,470081,0
15,58277,1940,74988,0,3349,9373,487509,0
16,85496,612,71038,0,3486,6611,495704,0
17,57607,508,74414,1,2740,52375,528947,1
18,58906,753,74206,1,3303,27026,520120,1
19,58437,1247,74324,2,3395,18690,526432,3
20,56011,489,77564,2,3302,6549,532049,3
21,58423,629,80347,1,3731,6538,556246,2
22,57534,578,75595,2,3482,8420,574339,2
23,58642,660,77469,2,3589,58551,643867,3
24,57272,989,73853,1,3854,7466,607480,2
25,58193,1076,74948,1,3716,9247,625728,1
26,57444,610,78039,2,2849,11864,646100,1
27,57541,768,80326,1,2463,12208,668331,1
28,88178,694,75354,2,3883,9669,684201,1
29,57887,792,76428,0,3831,9198,671137,0
30,56756,1163,67563,0,2787,8841,678515,0
31,57122,988,74924,1,3180,19153,706184,1
32,57767,671,76290,2,2927,52827,757731,1
33,58484,595,80730,1,3226,6821,734253,1
34,57755,1018,78120,1,2735,8270,754296,1
35,57338,1327,74021,2,3822,12513,774709,1
36,56910,543,76662,1,3655,8006,787957,2
37,58712,2216,78966,0,2939,7303,807934,0
38,56704,647,75897,0,3892,7579,824113,0
39,56577,2141,70399,0,4663,9454,839673,0
40,86962,658,78440,1,3147,48735,896961,1
41,56391,539,75632,0,3925,7901,844782,0
42,58240,1061,75235,0,3311,9013,863628,0
43,57363,509,73146,1,3552,7933,876453,1
44,59262,665,73894,0,2475,8496,891938,0
45,57016,974,69015,0,2970,7633,900642,0
46,57600,582,76640,0,2487,7600,918689,0
47,58815,1013,68868,0,3351,6934,929500,0
48,57033,831,77534,1,3224,10956,950851,1
49,56897,822,86464,0,3379,7650,976127,0
50,57232,1787,76239,0,2962,7556,994088,0
51,57417,656,78200,0,2948,57588,1063250,0
52,87087,565,71541,0,3215,6872,1026193,0
53,57865,581,69763,1,3331,7860,1009391,1
54,58648,624,73106,0,3534,8840,1025138,0
55,58472,606,71544,0,3674,6594,1035299,0
56,57577,921,71820,0,3008,8565,1049155,0
57,57033,701,72326,0,3143,10008,1064535,0
58,57735,596,79278,0,3513,10751,1087092,0
59,59312,649,77840,0,2910,11370,1106618,0
60,56786,1048,74549,0,3273,10335,1120487,0
61,58013,528,72289,0,2428,11382,1135018,0
62,58464,606,70988,1,3784,46701,1184078,1
63,57897,1062,78048,1,3019,6889,1162424,1
64,85763,2432,77989,1,3165,8749,1183315,2
65,56388,684,75710,1,3365,6446,1168672,1
66,57593,2020,76995,1,2956,7397,1189111,1
67,58000,628,77130,1,3591,8471,1208273,1
68,56738,600,77687,1,3130,9611,1227968,1
69,57868,700,78456,0,2903,9287,1248432,1
70,58206,805,72734,1,4540,13621,1268515,1
71,57480,1605,78633,1,3717,7666,1281314,1
72,56325,1017,75569,1,3967,12362,1302608,1
73,57586,2139,78818,1,2325,7976,1317974,1
74,56339,621,73211,1,3347,12627,1337079,1
75,57913,844,85304,0,2522,49989,1401935,0
76,58797,534,76972,0,3028,11232,1381848,0
77,87264,889,72051,0,3333,7448,1391038,0
78,56797,530,69017,0,2842,7707,1371409,0
79,59963,925,72134,1,3302,6702,1385579,1
80,56899,935,76898,0,3356,6884,1401819,0
81,57020,806,74809,1,2437,6925,1417789,1
82,57340,1226,72545,1,4042,8629,1435800,3
