frame,capture_us,preprocess_us,inference_us,nms_us,thumbnail_us,grpc_us,e2e_us,num_dets
11,2668,868,71916,2,3039,7463,85958,2
12,2641,826,71340,1,3165,7685,85660,1
13,2901,1019,74723,0,2526,9934,91106,0
14,2240,679,67818,0,2222,59057,132018,0
15,2636,772,71307,0,2247,9321,86286,1
16,3383,1296,71299,0,2323,8975,87278,0
17,2376,639,69901,0,2720,8979,84617,0
18,1840,695,67820,0,1866,7315,79539,0
19,2045,605,68913,0,2154,60440,134160,0
20,1878,634,69827,0,2345,7109,81795,0
21,2111,546,73940,0,1926,7249,85775,0
22,2075,649,71404,0,2324,8895,85349,0
23,2221,1001,69258,0,2120,9875,84478,0
24,2061,753,73831,0,2586,12663,91896,0
25,1929,687,71410,0,2240,9618,85886,0
26,2095,612,69374,1,2298,57975,132358,1
27,2503,730,75671,0,2054,6346,87305,0
28,1924,733,74462,0,2325,8248,87694,0
29,1963,635,69033,0,2498,8747,82880,0
30,1926,600,67166,0,2227,7758,79680,0
31,2012,712,75538,1,2190,24463,104919,1
32,2551,713,69828,0,2940,7813,83848,0
33,6115,600,67317,0,1936,57629,133600,0
34,1917,690,72909,0,2159,9985,87663,0
35,1912,599,70474,1,2233,7584,82806,1
36,2740,675,71826,0,2093,9451,86788,0
37,2368,606,66345,0,2716,10356,82394,0
38,1861,740,67457,0,2199,9295,81554,0
39,1974,775,69524,1,2053,9663,83992,2
40,2694,852,73399,1,2310,9710,88969,1
41,3198,972,77176,0,2275,7754,91377,0
42,1933,573,69922,0,2302,59644,134376,0
43,1860,647,70604,1,1930,7259,82304,1
44,2637,741,73363,1,2330,8463,87537,2
45,2781,1042,70757,1,2891,6653,84129,1
46,2701,885,69585,1,2398,8319,83892,1
47,2389,811,73131,0,2919,9683,88936,0
48,2402,935,75131,1,2813,7125,88409,1
49,3182,951,72903,1,2506,6519,86065,1
50,2800,752,74814,1,2207,13361,93938,1
51,2722,680,73760,1,2509,47004,126680,1
52,2670,993,74576,0,2508,9327,90079,0
53,1917,679,72910,1,2206,13957,91673,1
54,2413,604,70403,1,2199,6310,81932,2
55,2466,736,69185,2,1850,8828,83070,2
56,2413,863,73748,1,2026,8278,87332,1
