frame,capture_us,preprocess_us,inference_us,nms_us,thumbnail_us,grpc_us,e2e_us,num_dets
11,4427,75869,78525,0,3688,11222,412176,0
12,5034,76264,77251,0,4619,10213,408809,0
13,3878,73415,77186,0,4745,11962,406380,0
14,7788,72259,77575,1,4277,59160,453304,1
15,3694,74191,80051,1,5289,8242,403277,1
16,4151,72939,81055,2,4030,9459,406199,1
17,4694,72176,77036,0,3865,8625,404955,0
18,3501,74290,75061,2,5078,8413,404123,1
19,3642,76331,83058,2,5174,10848,411728,3
20,3725,77309,82930,2,4154,47747,450411,3
21,4076,72669,74898,23,5139,7644,404880,5
22,4639,69741,79441,2,3833,7864,406291,3
23,3503,79699,78536,2,4952,7763,411324,3
24,5276,77614,75167,2,3306,26955,420557,2
25,3699,70376,79385,2,4068,8136,398510,3
26,3878,75490,76236,1,4635,60324,453370,1
27,3738,74598,82668,1,4849,8579,405080,2
28,3689,71962,77904,2,3861,8629,403672,3
29,4440,74386,79018,2,4632,8655,407559,3
30,3768,71915,87468,4,4283,9634,416253,3
31,3978,78669,88042,2,5999,8865,428796,3
32,4711,71997,80204,2,4224,7507,423016,2
33,3722,76335,76111,2,5275,8659,424511,3
34,4810,81242,78669,1,5144,54127,468116,2
35,3953,83943,74469,2,4530,8802,410394,3
36,4282,75700,77792,2,5043,8288,400209,3
37,4501,71569,74382,2,4757,20336,406196,3
38,3663,74935,75130,2,3647,8402,392062,3
39,3877,70384,80274,2,4120,9316,395101,4
40,4232,73531,78182,2,4722,20882,411075,3
41,3975,70473,74267,2,4481,6852,393234,4
42,3790,71512,78597,2,4852,59730,450518,2
43,3385,76306,78879,2,4427,9486,403334,2
44,4603,73475,73651,1,3504,8960,395733,2
45,3533,70682,74388,2,4953,10101,394566,3
46,4147,74464,75392,2,3642,7466,391676,3
47,3539,75422,76434,2,3969,8717,390997,2
48,4621,68991,79053,3,4475,10976,393737,3
49,3867,70005,73659,2,2487,8840,389464,3
50,3616,72052,79253,3,3989,7801,395347,3
51,3715,72444,79889,1,4782,10756,402974,2
52,5504,74309,77761,2,3981,8954,401815,3
