frame,capture_us,preprocess_us,inference_us,nms_us,thumbnail_us,grpc_us,e2e_us,num_dets
11,59526,562,78992,1,3538,65175,438396,2
12,60541,1177,76989,1,3907,19186,409665,2
13,57642,1050,83939,1,3244,8305,420185,1
14,59025,1076,79059,1,2760,20296,451984,1
15,59312,594,76993,1,2917,8154,456836,1
16,89049,541,78860,1,3976,7864,476547,1
17,62330,725,80316,1,3343,56845,515590,1
18,57767,907,77759,1,4016,7032,481085,1
19,59250,1446,77401,1,2858,8179,499677,1
20,57473,640,75821,1,3682,16513,523861,1
21,59965,613,78598,1,3851,20952,548886,1
22,58989,827,76393,1,2813,14059,556496,1
23,59470,930,75024,1,3533,67155,625464,1
24,58754,633,75232,2,4179,14656,588417,1
25,60279,678,84426,2,4109,11498,610175,1
26,58528,888,80057,2,3283,14857,631694,1
27,59620,1162,83050,1,2646,7773,647513,1
28,88298,710,76476,1,3079,13920,669763,2
29,59926,560,78778,1,3281,16160,661936,1
30,60087,636,81676,1,3466,8980,676103,1
31,59140,552,74608,1,3963,77055,758527,1
32,60721,1273,75525,1,3813,9228,711854,1
33,57412,991,74806,1,4149,8627,718610,1
34,58989,561,75630,2,3750,10906,737686,1
35,59462,595,74753,2,3706,12074,753981,2
36,59629,1017,75258,1,4237,17096,774709,2
37,54577,1249,81039,1,3645,9352,781992,1
38,38427,661,72773,0,3549,21391,790218,0
39,19669,947,76643,1,3717,6677,773541,2
40,28169,578,80430,2,3709,60987,826651,1
41,13751,569,78349,1,4284,7476,777357,1
42,2591,582,76155,0,4449,9170,779886,0
43,3930,652,74446,1,4351,7776,778026,1
44,2540,909,74574,0,3588,19683,788061,0
45,3859,619,74759,0,4320,24597,793809,0
46,2642,1308,74216,0,3977,14950,782771,0
47,2437,884,71531,0,3408,12680,770504,0
48,2863,1031,70976,0,3619,11314,767497,0
49,2207,1136,78056,0,4124,18842,776964,0
50,4164,619,92608,0,4007,7785,777926,0
51,2873,1729,87730,0,3839,59899,839233,0
52,3761,644,80150,0,3669,16403,799632,0
53,3047,959,81907,1,3143,11883,802032,1
54,2406,1132,82434,0,4875,34047,833806,0
55,3317,940,81224,1,3017,8003,812373,1
56,2699,921,78201,0,2938,20435,828745,0
57,3525,792,76044,0,3516,14014,827371,0
58,2631,925,76077,1,3828,11499,830297,1
59,3381,1502,72540,1,3159,7736,820350,1
60,4143,772,75736,1,3481,19152,815203,3
61,2721,1267,75133,1,3903,8687,792559,1
62,3504,770,79924,2,4073,63169,846964,1
63,3556,713,77981,1,3897,7947,787631,1
64,3854,721,73058,0,2807,9849,779053,0
65,3095,889,71871,0,4328,16712,778148,0
66,3644,786,75766,1,4000,23339,782114,1
67,2366,961,76858,0,3978,11195,770787,0
68,2667,872,68991,1,4037,14326,766894,1
69,17535,548,77835,1,3726,14967,772521,1
70,2435,889,76019,0,3074,15031,772221,0
71,2410,1374,73875,0,3228,6571,762675,0
72,2880,934,70542,0,3496,8415,755421,0
73,3205,847,79500,0,2542,7487,754897,0
74,2620,1009,73501,1,2255,13567,761202,1
75,3961,697,81166,0,4021,7393,766203,0
76,4211,1865,74237,2,3357,63251,819654,1
77,3945,834,75538,0,3778,17472,772933,0
78,16031,684,76053,0,3775,17201,779710,1
79,3343,693,73694,1,3632,8561,766811,1
80,8712,616,73562,1,2547,11365,766005,1
81,22541,632,72544,1,2926,16905,770606,1
82,12078,757,76386,1,3510,7171,767337,1
83,19370,528,73739,1,3142,8744,762816,1
84,4822,721,74302,1,3232,6562,761499,1
85,11868,679,73838,8,3020,8186,755531,1
86,24558,619,74279,1,3407,9311,757126,1
87,8139,705,73083,1,2837,11530,756353,1
88,19739,597,76583,1,3239,6971,752665,1
89,5232,1042,78811,1,3506,11840,762937,1
90,19517,834,80265,1,3876,61708,819900,1
91,34728,959,79773,2,2719,20770,785101,1
92,18020,694,76293,1,2749,7318,771557,1
93,31112,535,77373,1,2717,8029,775871,1
94,15705,1476,76710,1,3856,29583,800985,1
95,29609,514,76639,0,3198,20814,794323,1
96,43105,604,74350,1,3531,24338,798474,1
97,29921,631,76638,1,3468,6634,784015,1
98,40075,743,77371,0,2965,16554,794282,0
99,20839,615,79646,1,2638,13205,791400,1
100,27516,659,79096,1,3032,6643,784028,2
101,35736,717,76822,1,3901,9929,785191,2
102,19686,840,76405,1,2963,6671,781174,2
103,28874,799,77700,2,3000,12856,787684,3
104,11199,876,73868,1,2843,10514,782379,2
105,21596,549,71894,1,3855,61381,829493,2
106,35666,796,73922,1,3579,7291,774553,3
107,17754,517,80263,1,2564,10969,781010,3
108,29099,1022,82928,1,3264,11250,787481,3
109,7600,657,123075,2,3804,7830,828318,1
110,16627,593,105332,1,3596,12231,858498,2
111,27199,575,78301,1,3702,7285,855106,1
112,9493,799,76713,0,3295,11069,858831,0
113,20965,1468,69077,0,2616,22146,860607,0
114,5288,631,74123,1,3577,7164,846845,1
115,20665,533,73463,1,3023,13344,854064,1
116,34450,497,78606,1,3106,16909,862403,1
117,12947,614,76485,1,2896,7858,849352,1
118,20380,629,74848,1,3639,8089,842254,1
119,3908,711,75945,1,3489,66281,853178,1
120,2866,897,79681,1,4580,14824,777180,1
121,2816,853,78812,1,2601,28888,789724,1
122,16710,635,78838,2,4059,6414,770842,2
123,34090,537,89336,1,3625,7816,792062,2
124,18817,494,76116,1,2827,7007,792446,1
125,33574,561,82753,1,3747,7752,803380,1
126,13562,845,82888,1,3973,7147,807258,1
127,25040,491,77230,1,4181,7285,808371,1
128,38272,731,80394,1,3483,8241,814178,1
129,21745,532,78188,1,3656,6599,814941,1
130,29841,662,76971,1,3335,7583,812900,1
131,9483,638,78752,1,3924,8092,813939,1
132,18948,544,83718,1,4156,9617,820619,1
133,20344,783,79657,1,3345,8708,809209,1
134,4724,658,77745,0,3879,9284,811945,1
135,14422,1197,79770,1,4303,61069,861161,1
136,2770,1323,94077,1,4364,7295,818693,1
137,2814,948,85776,1,4333,7087,827024,1
138,13813,631,80027,1,3728,10610,829642,1
139,3893,743,76693,1,3682,8328,825760,1
140,9559,621,73261,1,3631,6136,819778,1
141,3486,805,78768,1,2808,6864,819715,1
142,3196,1006,76529,1,3654,8350,814864,1
143,8784,689,75164,1,4274,7847,810477,1
