frame,capture_us,preprocess_us,inference_us,nms_us,thumbnail_us,grpc_us,e2e_us,num_dets
142,4057,70909,77103,0,3497,12706,397533,0
143,3869,73616,73287,0,2980,33131,415570,0
144,4168,70147,76945,0,3588,10342,392455,0
145,3659,74360,75953,1,4092,7336,391367,1
146,3136,74240,76851,2,4732,8932,392228,2
147,3998,69069,75713,2,4958,7872,389324,3
148,3382,73557,84560,1,4688,10111,402581,1
149,3558,71583,80227,2,2915,34372,428133,3
150,3825,72548,78457,2,3672,7650,405216,3
151,3346,72020,78911,0,3630,8031,407903,0
152,5763,78939,76286,0,8196,7202,412239,0
153,3616,76288,73307,0,3545,7295,396105,0
154,4261,74758,78097,1,2654,55329,441098,2
155,4596,73330,76316,1,3931,8001,392023,2
156,3459,72611,76806,1,4727,7037,390559,3
157,3560,69873,77720,2,4099,7323,391689,2
158,3353,74375,81056,1,3842,23057,414609,2
159,3941,72500,78833,1,4918,9894,403229,2
160,4712,70694,77951,1,2960,7993,400422,2
161,3257,74687,82088,1,4730,13819,414535,2
162,3726,77654,82094,1,5006,8057,413047,1
163,3774,74021,80527,1,5000,8675,412634,2
164,3662,74640,74521,1,3720,8248,407449,2
165,3469,77739,81982,1,4999,7364,411434,1
166,3789,79430,78360,1,4453,7467,407876,1
167,4697,74286,80480,1,4998,9485,407449,2
168,3712,71159,78092,1,4977,7265,404106,1
169,3373,78232,75299,1,4611,7650,404348,1
170,3867,75302,81371,0,3715,11951,407334,0
171,14099,65391,72231,1,4471,8480,397189,1
172,4661,72148,76279,1,6752,52221,439619,1
173,3718,71070,78997,1,3676,6877,392960,1
174,3966,77888,77514,1,3845,9398,398167,1
175,3558,68071,76539,1,4966,8062,392461,1
176,3703,72531,73583,0,3945,7782,392961,0
177,3462,75551,79325,2,4941,7859,396912,1
178,3680,74217,79127,1,4346,8210,396674,1
179,4759,70192,79003,1,4784,20506,410111,1
180,3700,71309,79259,1,8246,8162,405207,1
181,4004,73976,78294,1,3947,7139,402847,1
182,3745,75096,75835,1,4830,7755,401950,1
183,3432,74880,76246,1,4868,8119,399515,1
184,3841,75772,77678,1,3956,8481,398109,2
185,4058,73541,82841,0,4037,6592,399254,0
186,3481,72058,77341,1,4731,8580,401393,1
187,3885,72012,78487,1,4005,7447,402320,2
188,3921,74246,84149,1,4088,8093,411100,2
189,3555,78596,75628,1,4005,8366,408511,1
190,12506,64012,81335,1,4213,54300,453401,2
191,3925,74751,83126,1,5039,8112,414418,1
192,3938,80104,74781,1,4857,7988,410142,2
193,3428,71665,77302,1,3380,8072,401834,1
194,3559,77761,80903,1,3999,7264,407379,2
195,5284,77757,77289,1,3735,52454,447864,1
196,3609,70933,80439,1,4376,48977,442269,3
197,3789,74474,82090,1,3820,35745,435771,1
198,12731,66441,81019,1,4388,9977,412911,1
199,24077,52837,76472,1,3926,16030,415554,1
200,7390,74039,79659,1,3317,34674,435947,1
201,15344,66022,73860,1,4750,10268,405157,1
202,3357,77665,75984,1,3612,13138,401332,1
203,3933,71990,76269,1,4919,7874,392445,1
204,17546,61668,73316,1,3728,15052,395593,1
205,3802,69775,74877,2,2800,28088,403160,1
206,10336,64814,73524,1,3657,47106,422684,1
207,3395,73077,75999,1,4034,21279,397972,1
208,4020,69538,75315,1,3710,10415,385469,1
209,16626,57965,73567,1,3357,36044,410571,1
210,4124,69721,75078,1,3487,82080,456927,1
211,12619,62975,75329,0,3917,44284,430780,1
212,3558,71780,76389,1,4015,14193,391226,1
213,7113,65396,74843,1,3725,28626,404677,1
214,20802,54149,75678,1,3747,10514,389655,1
215,4725,69741,73934,1,3275,15884,393318,1
216,17212,59623,76954,1,3544,16596,396563,1
217,3709,70949,71463,1,4102,21817,396735,1
218,9773,65215,74663,1,3458,7177,381289,1
219,21311,52793,117125,1,10153,8484,431216,1
220,7675,69144,119593,1,4757,32407,495081,1
221,15075,56583,75560,1,3412,19879,479734,1
222,3461,70790,77353,0,4768,7794,474516,0
223,15425,102903,71784,1,4790,25322,489131,1
224,4031,114027,75345,0,4498,12787,432994,0
225,3530,71422,75204,0,2739,7873,383258,0
226,3242,73497,77736,0,3461,15503,394238,1
227,3543,67693,82043,1,4765,7834,392939,1
228,3625,71636,76149,1,3967,47194,436088,1
229,3118,72412,81138,0,3768,28493,422934,0
230,3599,73737,71301,1,4945,59376,450562,1
231,3896,77827,74020,1,4448,34755,421982,2
232,3578,73257,76170,1,4015,17153,398210,1
233,4564,75860,80459,1,3993,7869,392199,2
234,5278,66498,74096,1,3548,19484,396475,3
235,3720,68746,73931,2,3279,7021,385675,3
236,4068,71924,76966,1,4265,6542,390522,3
237,3589,76647,84556,1,3811,6443,398367,1
238,4039,69638,72758,0,4709,46108,431016,0
239,15845,57990,75155,0,4788,40937,427294,1
240,4041,72434,78192,0,3350,24188,413178,0
241,4111,80477,70317,1,3563,34268,417172,1
242,3682,68718,78399,0,3582,17275,393777,0
243,3515,71517,76136,0,3355,9252,389038,0
244,3606,74747,75166,1,4951,37009,418403,1
245,4463,65499,74295,1,4966,8864,385923,1
246,3285,74495,86105,1,4202,8720,400938,1
247,4518,71734,86265,3,8461,8474,413181,2
248,4951,69571,85330,0,4575,9322,418905,0
249,10444,63652,83118,1,3726,8181,425262,1
250,3812,82105,79779,1,3754,7999,430554,1
251,4539,81282,85078,0,3741,29636,450865,0
252,3305,81656,76032,1,2734,56008,466242,1
253,3832,79877,82566,1,3771,9537,418237,1
254,4539,75421,75486,1,2682,8581,407624,1
255,4881,79009,73451,1,3464,15831,408759,1
256,4591,70368,79930,1,3925,8555,397620,1
257,3321,79403,74873,2,4681,8566,398157,1
258,3413,71890,73836,1,3995,8695,388481,1
259,3345,69929,71410,1,4844,7885,384438,1
260,3690,76569,71418,1,4699,12274,386602,1
261,3659,70438,72544,1,3646,8404,373668,1
262,3389,70981,76656,1,2836,7103,373980,1
263,3661,66509,80236,1,4108,6977,380589,1
264,3846,67335,74276,0,3900,7092,384359,0
265,3597,69240,73993,0,3909,8295,388194,0
266,3241,72738,73124,1,4806,11405,392312,1
267,4049,76885,75142,0,3758,11023,389705,0
268,4259,69241,78891,1,4852,7602,384892,1
269,3839,69326,75456,0,4782,24856,403762,0
270,4422,67937,71878,1,4196,8879,385709,1
271,3558,71475,76794,1,4241,6978,387969,1
272,3398,75067,72448,1,3367,8124,385300,1
273,3662,71389,72342,1,4009,7990,379235,1
274,3604,68651,74225,1,3673,7881,377711,1
275,3393,73758,78872,0,4829,49851,427304,0
276,3267,68499,69626,0,5354,6695,376923,0
277,3288,68295,72289,0,3448,8751,377445,1
278,3558,70771,73045,0,4643,11932,383071,0
279,3828,74715,79214,1,3592,6842,381638,1
280,3935,65838,74685,1,4993,5989,378126,1
281,3476,68206,81977,1,4979,11984,395840,1
282,3504,69089,73895,0,3903,9741,394510,0
283,3490,75472,78841,1,4902,7825,399730,1
284,3737,71028,76228,0,4191,7672,395970,0
285,3226,78623,76867,0,3870,8326,398208,0
286,3888,69998,71387,0,3688,7707,386648,0
287,3890,75099,76439,0,3450,7993,389074,0
288,3268,72844,79756,0,3374,7419,388820,0
289,3781,72770,75806,0,4894,7616,390014,0
290,5428,65183,76624,0,4087,8676,389741,0
291,3677,72668,78041,0,3501,7545,395275,0
292,3298,75701,71906,1,4869,7693,392085,1
293,3585,71603,76809,0,3415,25785,406393,0
294,14998,62014,75045,0,5282,6755,388744,0
295,3667,74033,71334,0,3499,6943,381302,0
296,3597,67629,77907,0,4523,9002,384447,0
297,3425,74052,81961,1,3125,7478,391991,1
298,3641,70567,77749,0,3948,9146,394612,0
299,3876,67284,72546,2,4072,7358,390899,3
300,3418,75051,85152,2,4823,61299,459459,2
301,6332,75038,80007,3,3588,7992,406045,1
302,4205,72606,76098,1,5128,10127,404171,1
303,4005,68692,80983,1,3614,24879,421286,2
304,9755,74077,77264,0,4724,8457,410170,0
305,3627,76415,77992,1,5169,7967,404088,1
306,3481,72552,75608,36,3857,8878,399124,3
307,3630,77205,79769,1,4937,8976,403805,1
308,3525,73909,75915,1,4086,11959,400695,2
309,4566,72500,85483,1,4124,18934,415407,2
310,3471,73461,78555,1,4159,8216,406042,2
311,5352,72743,79868,2,3890,7367,407590,2
312,3518,72378,76662,1,4456,8357,407520,1
313,3801,81870,77774,1,3747,7259,407400,1
314,4434,73536,72788,1,4071,10864,398097,1
315,3437,75659,73886,0,4839,7998,391758,0
316,3671,74199,76097,0,4008,7131,386914,0
317,4035,73014,73511,1,4794,7739,383639,1
318,3252,69158,78938,1,4110,8315,385248,1
319,4421,68668,77651,1,3704,7180,388647,2
320,3212,73513,80220,1,4691,8373,397739,1
321,4291,68085,77604,0,3784,7452,396433,0
322,3680,75354,76382,0,3669,25627,418366,0
323,4567,72847,72901,1,5253,7524,395403,1
324,4429,75118,74778,1,4844,57585,442284,0
325,3680,73644,76027,1,3084,8365,387556,1
326,3885,73184,79385,1,3832,7612,389441,1
327,3570,68319,80333,1,4821,8753,394490,1
328,3204,71699,79347,0,3749,7135,399068,0
329,3436,72871,76254,0,3490,7112,399977,0
330,4051,74151,73559,0,4247,6876,397583,0
331,17310,63299,71503,0,2890,12289,394799,0
332,27085,51587,79276,0,3619,9020,390823,0
333,37252,39948,71920,0,3015,7835,381881,0
334,49712,23238,78118,0,3856,6821,382222,0
335,67156,4429,75476,1,3914,6362,384264,1
336,86544,1814,77895,0,2977,8199,391169,0
337,117135,1336,80182,0,3158,7145,381905,0
338,88463,1400,96734,1,4074,8649,362478,2
339,58650,1523,175577,1,4541,7382,447319,1
340,88561,1549,82369,0,4764,7897,470130,0
341,89476,1791,77409,0,2659,9599,456720,0
342,90882,2888,74317,1,3357,6931,437675,1
